"hour","fraud_rate","transaction_count"
"0",0.018980917580186763,"9852"
"1",0.018833162743091096,"9770"
"2",0.017540342788413352,"9977"
"3",0.014596304991323875,"9797"
"4",0.0017596522099161578,"9661"
"5",0.0016286644951140066,"9824"
"6",0.0008148299042574863,"9818"
"7",0.0016403526758253025,"9754"
"8",0.0014154281670205238,"9891"
"9",0.0015142337976983646,"9906"
"10",0.0011118973011220055,"9893"
"11",0.0012377514182568335,"9695"
"12",0.0010603048376408217,"15090"
"13",0.0014597571494924027,"15071"
"14",0.0020621299807091066,"15033"
"15",0.001455026455026455,"15120"
"16",0.001459660297239915,"15072"
"17",0.0011365915624791069,"14957"
"18",0.001392665296107169,"15079"
"19",0.0013959981386691485,"15043"
"20",0.0014793894156411808,"14871"
"21",0.0018359451839223657,"15251"
"22",0.03480666537991379,"15543"
"23",0.03374174097119764,"15589"
