"merchant","category","fraud_rate","transaction_count"
"fraud_Howe PLC","entertainment",1,"3"
"fraud_Johns-Hoeger","entertainment",1,"2"
"fraud_Frami Group","entertainment",1,"2"
"fraud_Cummerata-Hilpert","entertainment",1,"1"
"fraud_Effertz, Welch and Schowalter","entertainment",1,"1"
"fraud_Douglas-White","entertainment",1,"3"
"fraud_Abshire PLC","entertainment",1,"5"
"fraud_Effertz LLC","entertainment",1,"3"
"fraud_Beier LLC","entertainment",1,"1"
"fraud_Schroeder, Hauck and Treutel","entertainment",1,"5"
