"age_group","category","fraud_rate","transaction_count"
"20-29","grocery_pos",0.034134248665141115,"5244"
"20-29","shopping_net",0.022594424460431653,"8896"
"20-29","misc_net",0.015008828722778105,"6796"
"20-29","shopping_pos",0.007489160425699646,"10148"
"20-29","gas_transport",0.00521316860672713,"14003"
"20-29","travel",0.003288572211564812,"3649"
"20-29","grocery_net",0.0027896596615212942,"5377"
"20-29","misc_pos",0.00195160031225605,"7686"
"20-29","kids_pets",0.0017071088891598585,"8201"
"20-29","personal_care",0.0012608750472828142,"7931"
"20-29","entertainment",0.0010329511414110112,"9681"
"20-29","home",0.0008907892392659896,"5613"
"20-29","health_fitness",0.00037170115227357206,"8071"
"20-29","food_dining",0.00020110608345902463,"9945"
"30-39","shopping_net",0.013740886146943354,"21396"
"30-39","grocery_pos",0.009671810475983481,"27606"
"30-39","misc_net",0.009011223068731056,"12207"
"30-39","shopping_pos",0.005999307772180133,"26003"
"30-39","misc_pos",0.0037178786221979225,"18290"
"30-39","travel",0.0035470668485675307,"7330"
"30-39","gas_transport",0.003467128950526737,"22497"
"30-39","kids_pets",0.0033847641654578225,"22749"
"30-39","personal_care",0.00314969648379338,"17462"
"30-39","health_fitness",0.002751031636863824,"17448"
"30-39","entertainment",0.002741345947108149,"18604"
"30-39","home",0.0026369974352490697,"27683"
"30-39","food_dining",0.0023269041832566315,"19339"
"30-39","grocery_net",0.0007578053955744165,"13196"
"40-49","shopping_net",0.011687395254476493,"22674"
"40-49","misc_net",0.009221631759924976,"12796"
"40-49","grocery_pos",0.008180674031603972,"28604"
"40-49","gas_transport",0.004618832029999543,"21867"
"40-49","shopping_pos",0.0040227339828757015,"27096"
"40-49","misc_pos",0.002674357629785003,"19070"
"40-49","entertainment",0.0026164580340652575,"19492"
"40-49","travel",0.00251223059632421,"7563"
"40-49","personal_care",0.002497692349459738,"18417"
"40-49","kids_pets",0.0020742496719298987,"23623"
"40-49","home",0.002044422883675803,"28859"
"40-49","health_fitness",0.0019089173711480775,"18335"
"40-49","food_dining",0.0016742170573173134,"20308"
"40-49","grocery_net",0.0012779552715654952,"14085"
"50-59","shopping_net",0.015102314313695171,"19401"
"50-59","misc_net",0.014362946824820463,"12393"
"50-59","grocery_pos",0.012549259670199334,"26137"
"50-59","shopping_pos",0.006311300639658848,"23450"
"50-59","gas_transport",0.004305626505144859,"27406"
"50-59","grocery_net",0.0031351742433377546,"8293"
"50-59","personal_care",0.002877237851662404,"18768"
"50-59","misc_pos",0.0028223783241344705,"15944"
"50-59","entertainment",0.002592772646248582,"18513"
"50-59","food_dining",0.0025589675122385403,"17976"
"50-59","travel",0.0025128785023244126,"7959"
"50-59","kids_pets",0.002353948213139311,"23365"
"50-59","home",0.002058892082977236,"25742"
"50-59","health_fitness",0.0018133957297455396,"17095"
"60+","shopping_net",0.026215443279313633,"25176"
"60+","misc_net",0.021314480230426813,"19095"
"60+","grocery_pos",0.020390046328404583,"36047"
"60+","grocery_net",0.014441235281048655,"4501"
"60+","shopping_pos",0.011809841534612177,"29975"
"60+","gas_transport",0.005404698600880443,"45886"
"60+","misc_pos",0.0038039110634878115,"18665"
"60+","travel",0.002784520919605883,"14006"
"60+","entertainment",0.002633097677102871,"27724"
"60+","personal_care",0.0019517388218594747,"28180"
"60+","kids_pets",0.0012536684047069551,"35097"
"60+","food_dining",0.0010044782990834135,"23893"
"60+","health_fitness",0.0006417970316887284,"24930"
"60+","home",0.0002271565676642626,"35218"
