"merchant","fraud_rate","transaction_count"
"fraud_Kozey-Boehm",0.02572347266881029,"1866"
"fraud_Cormier LLC",0.022970903522205207,"1959"
"fraud_Kerluke-Abshire",0.022306855277475515,"1838"
"fraud_Goyette Inc",0.02161605764282038,"1943"
"fraud_Terry-Huel",0.02154308617234469,"1996"
"fraud_Jast Ltd",0.021505376344086023,"1953"
"fraud_Schmeler, Bashirian and Price",0.020833333333333332,"1968"
"fraud_Boyer-Reichert",0.019916142557651992,"1908"
"fraud_Langworth, Boehm and Gulgowski",0.019807008633824275,"1969"
"fraud_Baumbach, Feeney and Morar",0.019699326075686883,"1929"
