"category","fraud_rate","transaction_count"
"shopping_net",0.026215443279313633,"25176"
"misc_net",0.021314480230426813,"19095"
"grocery_pos",0.020390046328404583,"36047"
"grocery_net",0.014441235281048655,"4501"
"shopping_pos",0.011809841534612177,"29975"
"gas_transport",0.005404698600880443,"45886"
"misc_pos",0.0038039110634878115,"18665"
"travel",0.002784520919605883,"14006"
"entertainment",0.002633097677102871,"27724"
"personal_care",0.0019517388218594747,"28180"
"kids_pets",0.0012536684047069551,"35097"
"food_dining",0.0010044782990834135,"23893"
"health_fitness",0.0006417970316887284,"24930"
"home",0.0002271565676642626,"35218"
