"merchant","hour","fraud_rate","transaction_count"
"fraud_Kerluke-Abshire","22",0.24,"100"
"fraud_Price Inc","22",0.21052631578947367,"95"
"fraud_Terry-Huel","22",0.21052631578947367,"114"
"fraud_Kozey-Boehm","22",0.1875,"96"
"fraud_Cormier LLC","22",0.17475728155339806,"103"
"fraud_Boyer-Reichert","23",0.17204301075268819,"93"
"fraud_Schmeler, Bashirian and Price","22",0.17117117117117117,"111"
"fraud_Greenholt, O'Hara and Balistreri","22",0.1650485436893204,"103"
"fraud_Medhurst PLC","22",0.16470588235294117,"85"
"fraud_Schmidt and Sons","22",0.16470588235294117,"85"
