"merchant","hour","average_amount","transaction_count"
"fraud_Ankunding LLC","0",93.27499999999999,"82"
"fraud_Ankunding LLC","1",43.52264705882353,"68"
"fraud_Ankunding LLC","2",80.33910447761193,"67"
"fraud_Ankunding LLC","3",71.73840579710145,"69"
"fraud_Ankunding LLC","4",92.73475,"80"
"fraud_Ankunding LLC","5",130.87044776119404,"67"
"fraud_Ankunding LLC","6",32.728787878787884,"66"
"fraud_Ankunding LLC","7",74.70930555555556,"72"
"fraud_Ankunding LLC","8",57.13105263157895,"57"
"fraud_Ankunding LLC","9",77.94870967741934,"62"
"fraud_Ankunding LLC","10",88.17131578947368,"76"
"fraud_Ankunding LLC","11",56.29576271186441,"59"
"fraud_Ankunding LLC","12",75.21256097560976,"82"
"fraud_Ankunding LLC","13",69.7380198019802,"101"
"fraud_Ankunding LLC","14",33.44736263736264,"91"
"fraud_Ankunding LLC","15",49.13898148148149,"108"
"fraud_Ankunding LLC","16",85.06852459016395,"61"
"fraud_Ankunding LLC","17",45.83126315789474,"95"
"fraud_Ankunding LLC","18",84.82495495495495,"111"
"fraud_Ankunding LLC","19",35.080124999999995,"80"
"fraud_Ankunding LLC","20",84.09082352941176,"85"
"fraud_Ankunding LLC","21",145.77820224719105,"89"
"fraud_Ankunding LLC","22",179.4549514563107,"103"
"fraud_Ankunding LLC","23",183.14586956521737,"92"
"fraud_Bashirian Group","0",58.43850000000001,"80"
"fraud_Bashirian Group","1",73.72482142857143,"56"
"fraud_Bashirian Group","2",108.74033898305085,"59"
"fraud_Bashirian Group","3",76.42194805194805,"77"
"fraud_Bashirian Group","4",67.94304347826088,"69"
"fraud_Bashirian Group","5",80.6027848101266,"79"
"fraud_Bashirian Group","6",111.64806451612903,"62"
"fraud_Bashirian Group","7",76.7453424657534,"73"
"fraud_Bashirian Group","8",44.525942028985504,"69"
"fraud_Bashirian Group","9",59.322461538461525,"65"
"fraud_Bashirian Group","10",93.51093333333333,"75"
"fraud_Bashirian Group","11",74.87972222222221,"72"
"fraud_Bashirian Group","12",141.5558333333333,"96"
"fraud_Bashirian Group","13",54.489629629629626,"81"
"fraud_Bashirian Group","14",49.81117021276596,"94"
"fraud_Bashirian Group","15",86.81302752293578,"109"
"fraud_Bashirian Group","16",78.03829999999999,"100"
"fraud_Bashirian Group","17",70.48759036144577,"83"
"fraud_Bashirian Group","18",134.88222222222223,"90"
"fraud_Bashirian Group","19",67.2582795698925,"93"
"fraud_Bashirian Group","20",96.96453125,"64"
"fraud_Bashirian Group","21",70.6432530120482,"83"
"fraud_Bashirian Group","22",186.83365384615382,"104"
"fraud_Bashirian Group","23",154.55639175257733,"97"
"fraud_Baumbach, Feeney and Morar","0",56.75173913043477,"69"
"fraud_Baumbach, Feeney and Morar","1",49.079054054054055,"74"
"fraud_Baumbach, Feeney and Morar","2",75.64288135593218,"59"
"fraud_Baumbach, Feeney and Morar","3",87.34779411764706,"68"
"fraud_Baumbach, Feeney and Morar","4",71.24563636363635,"55"
"fraud_Baumbach, Feeney and Morar","5",73.11285714285714,"49"
"fraud_Baumbach, Feeney and Morar","6",65.7255737704918,"61"
"fraud_Baumbach, Feeney and Morar","7",53.82055555555556,"72"
"fraud_Baumbach, Feeney and Morar","8",69.55453488372092,"86"
"fraud_Baumbach, Feeney and Morar","9",71.53530864197532,"81"
"fraud_Baumbach, Feeney and Morar","10",58.84032786885246,"61"
"fraud_Baumbach, Feeney and Morar","11",84.16727272727272,"77"
