"merchant","transaction_count","fraud_rate"
"fraud_Rau and Sons","755",0.033112582781456956
"fraud_Padberg-Welch","734",0.031335149863760216
"fraud_Doyle Ltd","721",0.030513176144244106
"fraud_Stracke-Lemke","725",0.027586206896551724
"fraud_Bailey-Morar","733",0.02592087312414734
"fraud_Goodwin-Nitzsche","718",0.025069637883008356
"fraud_Heidenreich PLC","729",0.024691358024691357
"fraud_Bradtke PLC","737",0.024423337856173677
"fraud_Vandervort-Funk","702",0.024216524216524215
"fraud_Koepp-Witting","697",0.02295552367288379
