"merchant","min_amount","max_amount","avg_amount"
"fraud_Abshire PLC",374.08,634.64,511.3733333333333
"fraud_Beier LLC",442.43,528.98,487.97333333333336
"fraud_Bernier, Volkman and Hoeger",700.91,1013.12,799.7230769230769
"fraud_Brown-Greenholt",415.24,570.24,500.97749999999996
"fraud_Cormier, Stracke and Thiel",495.11,637.33,544.374
"fraud_Corwin-Gorczany",678.31,975.85,820.7212499999999
"fraud_Cummerata-Hilpert",422.35,504.18,463.265
"fraud_Dach-Nader",744.47,863.13,819.125
"fraud_Dare-Marvin",436.86,573.51,520.3142857142858
"fraud_Dibbert-Green",419.75,672.48,523.7316666666667
