"merchant","day_of_week","fraud_rate","transaction_count"
"fraud_Kozey-Boehm","4",0.061855670103092786,"194"
"fraud_Goyette Inc","5",0.04721030042918455,"233"
"fraud_Terry-Huel","5",0.04365079365079365,"252"
"fraud_Kerluke-Abshire","5",0.041666666666666664,"216"
"fraud_Langworth, Boehm and Gulgowski","5",0.041666666666666664,"240"
"fraud_Boyer PLC","3",0.04145077720207254,"193"
"fraud_Kozey-Boehm","3",0.04020100502512563,"199"
"fraud_Mosciski, Ziemann and Farrell","4",0.040160642570281124,"249"
"fraud_Fisher Inc","3",0.039603960396039604,"202"
"fraud_Heathcote LLC","2",0.039525691699604744,"253"
