"merchant","day_of_week","hour","fraud_rate","transaction_count"
"fraud_Terry-Huel","5","22",0.45454545454545453,"11"
"fraud_Kerluke-Abshire","4","22",0.42857142857142855,"7"
"fraud_Kozey-Boehm","4","22",0.42857142857142855,"14"
"fraud_Fisher Inc","4","22",0.4166666666666667,"12"
"fraud_Mosciski, Ziemann and Farrell","4","22",0.4166666666666667,"12"
"fraud_Fisher Inc","3","23",0.4,"15"
"fraud_Goyette Inc","5","22",0.38461538461538464,"13"
"fraud_Kerluke-Abshire","1","22",0.38095238095238093,"21"
"fraud_Kerluke-Abshire","3","22",0.36363636363636365,"11"
"fraud_Boyer PLC","4","22",0.36363636363636365,"11"
